Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=150, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		11315 train individual data points
		595 valid individual data points
		353 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved/model.ckpt-53500
training...
learning rate: 9.99999974738e-05
53510/125000, loss = -2.169, regloss = -0.21841, valid_loss = -1.937, time = 0.275
53520/125000, loss = -1.879, regloss = -0.39627, valid_loss = -1.873, time = 0.275
53530/125000, loss = -2.082, regloss = -0.55874, valid_loss = -1.883, time = 0.280
53540/125000, loss = -2.130, regloss = -0.70402, valid_loss = -1.866, time = 0.279
53550/125000, loss = -2.239, regloss = -0.83599, valid_loss = -1.902, time = 0.275
53560/125000, loss = -1.985, regloss = -0.95352, valid_loss = -1.853, time = 0.278
53570/125000, loss = -2.065, regloss = -1.06300, valid_loss = -1.901, time = 0.276
53580/125000, loss = -1.923, regloss = -1.15613, valid_loss = -1.909, time = 0.276
53590/125000, loss = -2.193, regloss = -1.24369, valid_loss = -1.937, time = 0.277
53600/125000, loss = -1.961, regloss = -1.32395, valid_loss = -1.926, time = 0.276
53610/125000, loss = -1.885, regloss = -1.39497, valid_loss = -1.891, time = 0.278
53620/125000, loss = -1.998, regloss = -1.45989, valid_loss = -1.892, time = 0.415
53630/125000, loss = -2.156, regloss = -1.51853, valid_loss = -1.906, time = 0.281
53640/125000, loss = -2.095, regloss = -1.57655, valid_loss = -1.912, time = 0.275
53650/125000, loss = -2.088, regloss = -1.62446, valid_loss = -1.913, time = 0.280
53660/125000, loss = -1.934, regloss = -1.66841, valid_loss = -1.903, time = 0.279
53670/125000, loss = -2.085, regloss = -1.70821, valid_loss = -1.875, time = 0.275
53680/125000, loss = -2.217, regloss = -1.74330, valid_loss = -1.868, time = 0.277
53690/125000, loss = -1.946, regloss = -1.77482, valid_loss = -1.921, time = 0.281
53700/125000, loss = -2.050, regloss = -1.80495, valid_loss = -1.912, time = 0.276
53710/125000, loss = -2.165, regloss = -1.83312, valid_loss = -1.947, time = 0.276
53720/125000, loss = -2.306, regloss = -1.86011, valid_loss = -1.942, time = 0.278
53730/125000, loss = -2.132, regloss = -1.88579, valid_loss = -1.903, time = 0.283
53740/125000, loss = -1.990, regloss = -1.89870, valid_loss = -1.874, time = 0.415
53750/125000, loss = -2.033, regloss = -1.90901, valid_loss = -1.917, time = 0.279
53760/125000, loss = -1.986, regloss = -1.92311, valid_loss = -1.906, time = 0.282
53770/125000, loss = -2.299, regloss = -1.93602, valid_loss = -1.888, time = 0.273
53780/125000, loss = -2.230, regloss = -1.95594, valid_loss = -1.941, time = 0.277
53790/125000, loss = -2.177, regloss = -1.96661, valid_loss = -1.823, time = 0.275
53800/125000, loss = -2.012, regloss = -1.97385, valid_loss = -1.931, time = 0.274
53810/125000, loss = -2.078, regloss = -1.98976, valid_loss = -1.927, time = 0.412
53820/125000, loss = -2.141, regloss = -1.99730, valid_loss = -1.904, time = 0.281
53830/125000, loss = -2.044, regloss = -2.00583, valid_loss = -1.936, time = 0.290
53840/125000, loss = -1.987, regloss = -2.01720, valid_loss = -1.885, time = 0.282
53850/125000, loss = -2.044, regloss = -2.02484, valid_loss = -1.906, time = 0.282
53860/125000, loss = -2.194, regloss = -2.03332, valid_loss = -1.893, time = 0.276
53870/125000, loss = -2.028, regloss = -2.03538, valid_loss = -1.910, time = 0.276
53880/125000, loss = -2.261, regloss = -2.04202, valid_loss = -1.949, time = 0.315
53890/125000, loss = -1.957, regloss = -2.04585, valid_loss = -1.931, time = 0.309
53900/125000, loss = -2.051, regloss = -2.05000, valid_loss = -1.949, time = 0.310
53910/125000, loss = -2.169, regloss = -2.05723, valid_loss = -1.949, time = 0.285
53920/125000, loss = -2.061, regloss = -2.06920, valid_loss = -1.950, time = 0.304
53930/125000, loss = -2.044, regloss = -2.07236, valid_loss = -1.946, time = 0.295
53940/125000, loss = -2.116, regloss = -2.07958, valid_loss = -1.924, time = 0.507
53950/125000, loss = -2.010, regloss = -2.08216, valid_loss = -1.919, time = 0.421
53960/125000, loss = -2.140, regloss = -2.08549, valid_loss = -1.934, time = 0.280
53970/125000, loss = -2.175, regloss = -2.08840, valid_loss = -1.941, time = 0.282
53980/125000, loss = -2.113, regloss = -2.08855, valid_loss = -1.923, time = 0.311
53990/125000, loss = -2.351, regloss = -2.09265, valid_loss = -1.944, time = 0.283
learning rate: 9.99999974738e-05
SAVED MODEL
54000/125000, loss = -2.121, regloss = -2.09550, valid_loss = -1.927, time = 0.305
54010/125000, loss = -2.049, regloss = -2.09604, valid_loss = -1.921, time = 0.285
54020/125000, loss = -1.961, regloss = -2.09306, valid_loss = -1.927, time = 0.283
54030/125000, loss = -2.131, regloss = -2.09208, valid_loss = -1.942, time = 0.322
54040/125000, loss = -2.084, regloss = -2.09363, valid_loss = -1.922, time = 0.270
54050/125000, loss = -2.013, regloss = -2.09082, valid_loss = -1.951, time = 0.273
54060/125000, loss = -2.110, regloss = -2.09541, valid_loss = -1.932, time = 0.269
54070/125000, loss = -2.143, regloss = -2.09997, valid_loss = -1.921, time = 0.268
54080/125000, loss = -2.030, regloss = -2.10417, valid_loss = -1.919, time = 0.300
54090/125000, loss = -2.135, regloss = -2.10637, valid_loss = -1.940, time = 0.268
54100/125000, loss = -2.000, regloss = -2.10630, valid_loss = -1.901, time = 0.267
54110/125000, loss = -2.016, regloss = -2.10180, valid_loss = -1.937, time = 0.295
54120/125000, loss = -2.054, regloss = -2.10773, valid_loss = -1.923, time = 0.500
54130/125000, loss = -2.129, regloss = -2.10900, valid_loss = -1.924, time = 0.405
54140/125000, loss = -2.165, regloss = -2.10564, valid_loss = -1.939, time = 0.273
54150/125000, loss = -2.161, regloss = -2.11036, valid_loss = -1.944, time = 0.270
54160/125000, loss = -2.071, regloss = -2.11192, valid_loss = -1.931, time = 0.268
54170/125000, loss = -2.122, regloss = -2.11355, valid_loss = -1.943, time = 0.271
54180/125000, loss = -2.086, regloss = -2.10847, valid_loss = -1.943, time = 0.275
54190/125000, loss = -2.200, regloss = -2.10912, valid_loss = -1.912, time = 0.267
54200/125000, loss = -2.158, regloss = -2.10723, valid_loss = -1.939, time = 0.272
54210/125000, loss = -2.178, regloss = -2.10312, valid_loss = -1.925, time = 0.482
54220/125000, loss = -2.211, regloss = -2.10503, valid_loss = -1.921, time = 0.407
54230/125000, loss = -2.143, regloss = -2.10373, valid_loss = -1.943, time = 0.271
54240/125000, loss = -1.945, regloss = -2.10246, valid_loss = -1.934, time = 0.272
54250/125000, loss = -2.142, regloss = -2.10516, valid_loss = -1.917, time = 0.269
54260/125000, loss = -2.127, regloss = -2.10619, valid_loss = -1.921, time = 0.271
54270/125000, loss = -2.161, regloss = -2.10772, valid_loss = -1.937, time = 0.271
54280/125000, loss = -2.277, regloss = -2.10570, valid_loss = -1.930, time = 0.268
54290/125000, loss = -2.146, regloss = -2.10776, valid_loss = -1.941, time = 0.275
54300/125000, loss = -2.116, regloss = -2.10802, valid_loss = -1.954, time = 0.333
54310/125000, loss = -2.134, regloss = -2.10868, valid_loss = -1.929, time = 0.400
54320/125000, loss = -2.080, regloss = -2.11076, valid_loss = -1.932, time = 0.278
54330/125000, loss = -2.197, regloss = -2.11315, valid_loss = -1.920, time = 0.273
54340/125000, loss = -2.201, regloss = -2.11248, valid_loss = -1.919, time = 0.270
54350/125000, loss = -2.319, regloss = -2.11558, valid_loss = -1.951, time = 0.269
54360/125000, loss = -2.067, regloss = -2.11845, valid_loss = -1.940, time = 0.271
54370/125000, loss = -2.048, regloss = -2.11699, valid_loss = -1.920, time = 0.270
54380/125000, loss = -2.058, regloss = -2.11442, valid_loss = -1.928, time = 0.271
54390/125000, loss = -2.125, regloss = -2.11424, valid_loss = -1.926, time = 0.273
54400/125000, loss = -2.107, regloss = -2.11170, valid_loss = -1.936, time = 0.268
54410/125000, loss = -2.061, regloss = -2.11278, valid_loss = -1.945, time = 0.274
54420/125000, loss = -2.072, regloss = -2.10799, valid_loss = -1.929, time = 0.272
54430/125000, loss = -2.200, regloss = -2.11149, valid_loss = -1.900, time = 0.423
54440/125000, loss = -1.851, regloss = -2.10547, valid_loss = -1.947, time = 0.292
54450/125000, loss = -2.108, regloss = -2.10317, valid_loss = -1.951, time = 0.272
54460/125000, loss = -2.080, regloss = -2.10379, valid_loss = -1.940, time = 0.268
54470/125000, loss = -2.165, regloss = -2.10320, valid_loss = -1.955, time = 0.271
54480/125000, loss = -1.945, regloss = -2.09436, valid_loss = -1.924, time = 0.273
54490/125000, loss = -2.136, regloss = -2.09235, valid_loss = -1.923, time = 0.479
learning rate: 9.99999974738e-05
SAVED MODEL
54500/125000, loss = -2.146, regloss = -2.09456, valid_loss = -1.943, time = 0.281
54510/125000, loss = -2.119, regloss = -2.09657, valid_loss = -1.944, time = 0.281
54520/125000, loss = -2.135, regloss = -2.09940, valid_loss = -1.944, time = 0.273
54530/125000, loss = -2.027, regloss = -2.10378, valid_loss = -1.916, time = 0.275
54540/125000, loss = -2.226, regloss = -2.10970, valid_loss = -1.926, time = 0.273
54550/125000, loss = -2.160, regloss = -2.11060, valid_loss = -1.910, time = 0.271
54560/125000, loss = -2.060, regloss = -2.10855, valid_loss = -1.937, time = 0.480
54570/125000, loss = -2.069, regloss = -2.11006, valid_loss = -1.916, time = 0.410
54580/125000, loss = -2.125, regloss = -2.10924, valid_loss = -1.917, time = 0.271
54590/125000, loss = -2.202, regloss = -2.11058, valid_loss = -1.928, time = 0.268
54600/125000, loss = -2.228, regloss = -2.11312, valid_loss = -1.946, time = 0.267
54610/125000, loss = -2.229, regloss = -2.10938, valid_loss = -1.925, time = 0.272
54620/125000, loss = -2.167, regloss = -2.11390, valid_loss = -1.935, time = 0.268
54630/125000, loss = -2.101, regloss = -2.11026, valid_loss = -1.932, time = 0.268
54640/125000, loss = -2.238, regloss = -2.11282, valid_loss = -1.932, time = 0.273
54650/125000, loss = -1.935, regloss = -2.11423, valid_loss = -1.947, time = 0.480
54660/125000, loss = -2.121, regloss = -2.11003, valid_loss = -1.945, time = 0.402
54670/125000, loss = -2.216, regloss = -2.10893, valid_loss = -1.934, time = 0.273
54680/125000, loss = -2.000, regloss = -2.10574, valid_loss = -1.943, time = 0.268
54690/125000, loss = -2.198, regloss = -2.11129, valid_loss = -1.931, time = 0.268
54700/125000, loss = -2.028, regloss = -2.10923, valid_loss = -1.930, time = 0.273
54710/125000, loss = -2.177, regloss = -2.11053, valid_loss = -1.928, time = 0.267
54720/125000, loss = -2.154, regloss = -2.10962, valid_loss = -1.937, time = 0.275
54730/125000, loss = -1.988, regloss = -2.10803, valid_loss = -1.933, time = 0.279
54740/125000, loss = -2.140, regloss = -2.10728, valid_loss = -1.918, time = 0.268
54750/125000, loss = -2.009, regloss = -2.10494, valid_loss = -1.939, time = 0.268
54760/125000, loss = -2.039, regloss = -2.10062, valid_loss = -1.920, time = 0.273
54770/125000, loss = -2.101, regloss = -2.10233, valid_loss = -1.948, time = 0.267
54780/125000, loss = -2.071, regloss = -2.10516, valid_loss = -1.922, time = 0.268
54790/125000, loss = -2.104, regloss = -2.10302, valid_loss = -1.910, time = 0.272
54800/125000, loss = -2.094, regloss = -2.10109, valid_loss = -1.925, time = 0.480
54810/125000, loss = -2.083, regloss = -2.10144, valid_loss = -1.918, time = 0.402
54820/125000, loss = -2.195, regloss = -2.10162, valid_loss = -1.920, time = 0.277
54830/125000, loss = -2.161, regloss = -2.10293, valid_loss = -1.938, time = 0.415
54840/125000, loss = -1.953, regloss = -2.09802, valid_loss = -1.921, time = 0.274
54850/125000, loss = -2.069, regloss = -2.09829, valid_loss = -1.919, time = 0.272
54860/125000, loss = -2.015, regloss = -2.10516, valid_loss = -1.943, time = 0.402
54870/125000, loss = -2.193, regloss = -2.10355, valid_loss = -1.935, time = 0.271
54880/125000, loss = -2.058, regloss = -2.10346, valid_loss = -1.938, time = 0.268
54890/125000, loss = -2.135, regloss = -2.10924, valid_loss = -1.937, time = 0.267
54900/125000, loss = -2.123, regloss = -2.10530, valid_loss = -1.927, time = 0.272
54910/125000, loss = -2.032, regloss = -2.10514, valid_loss = -1.917, time = 0.268
54920/125000, loss = -2.217, regloss = -2.11395, valid_loss = -1.952, time = 0.268
54930/125000, loss = -2.090, regloss = -2.12122, valid_loss = -1.928, time = 0.272
54940/125000, loss = -2.043, regloss = -2.11581, valid_loss = -1.920, time = 0.482
54950/125000, loss = -1.969, regloss = -2.11248, valid_loss = -1.941, time = 0.401
54960/125000, loss = -2.095, regloss = -2.11150, valid_loss = -1.925, time = 0.271
54970/125000, loss = -2.223, regloss = -2.10808, valid_loss = -1.931, time = 0.288
54980/125000, loss = -2.172, regloss = -2.11629, valid_loss = -1.944, time = 0.291
54990/125000, loss = -2.097, regloss = -2.11462, valid_loss = -1.926, time = 0.271
learning rate: 9.99999974738e-05
SAVED MODEL
55000/125000, loss = -2.212, regloss = -2.11662, valid_loss = -1.924, time = 0.302
55010/125000, loss = -2.173, regloss = -2.11835, valid_loss = -1.941, time = 0.268
55020/125000, loss = -2.269, regloss = -2.12208, valid_loss = -1.935, time = 0.273
55030/125000, loss = -2.068, regloss = -2.12204, valid_loss = -1.925, time = 0.269
55040/125000, loss = -2.003, regloss = -2.12134, valid_loss = -1.939, time = 0.268
55050/125000, loss = -2.179, regloss = -2.12023, valid_loss = -1.934, time = 0.272
55060/125000, loss = -1.994, regloss = -2.11380, valid_loss = -1.920, time = 0.267
55070/125000, loss = -2.162, regloss = -2.11679, valid_loss = -1.946, time = 0.270
55080/125000, loss = -2.145, regloss = -2.11999, valid_loss = -1.929, time = 0.272
55090/125000, loss = -2.170, regloss = -2.11433, valid_loss = -1.920, time = 0.483
55100/125000, loss = -2.136, regloss = -2.11870, valid_loss = -1.905, time = 0.411
55110/125000, loss = -2.137, regloss = -2.11905, valid_loss = -1.919, time = 0.274
55120/125000, loss = -2.154, regloss = -2.11540, valid_loss = -1.922, time = 0.267
55130/125000, loss = -2.271, regloss = -2.11773, valid_loss = -1.943, time = 0.274
55140/125000, loss = -2.176, regloss = -2.11819, valid_loss = -1.938, time = 0.270
55150/125000, loss = -2.070, regloss = -2.11086, valid_loss = -1.925, time = 0.480
55160/125000, loss = -2.167, regloss = -2.10614, valid_loss = -1.910, time = 0.402
55170/125000, loss = -1.978, regloss = -2.10597, valid_loss = -1.956, time = 0.270
55180/125000, loss = -2.121, regloss = -2.10624, valid_loss = -1.920, time = 0.268
55190/125000, loss = -2.208, regloss = -2.11148, valid_loss = -1.939, time = 0.267
55200/125000, loss = -1.852, regloss = -2.10578, valid_loss = -1.916, time = 0.271
55210/125000, loss = -2.100, regloss = -2.10265, valid_loss = -1.927, time = 0.267
55220/125000, loss = -1.992, regloss = -2.09963, valid_loss = -1.945, time = 0.267
55230/125000, loss = -2.250, regloss = -2.10252, valid_loss = -1.930, time = 0.268
55240/125000, loss = -2.174, regloss = -2.10277, valid_loss = -1.932, time = 0.292
55250/125000, loss = -2.055, regloss = -2.09936, valid_loss = -1.949, time = 0.404
55260/125000, loss = -2.062, regloss = -2.09598, valid_loss = -1.930, time = 0.270
55270/125000, loss = -2.151, regloss = -2.09716, valid_loss = -1.910, time = 0.269
55280/125000, loss = -2.064, regloss = -2.09314, valid_loss = -1.918, time = 0.267
55290/125000, loss = -2.134, regloss = -2.09601, valid_loss = -1.864, time = 0.271
55300/125000, loss = -2.033, regloss = -2.09616, valid_loss = -1.880, time = 0.270
